InChIKey	InChI	Smiles
MYYIAHXIVFADCU-QMMMGPOBSA-N	InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1	Cn1cncc1C[C@@H](C(=O)O)N=C(CCN)O
ODKSFYDXXFIFQN-BYPYZUCNSA-N	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	C(C[C@@H](C(=O)O)N)CNC(=N)N
CKLJMWTZIZZHCS-REOHCLBHSA-N	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	C([C@@H](C(=O)O)N)C(=O)O
PHIQHXFUZVPYII-ZCFIWIBFSA-N	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1	C[N+](C)(C)C[C@@H](CC(=O)[O-])O
WHUUTDBJXJRKMK-VKHMYHEASA-N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	C(CC(=O)O)[C@@H](C(=O)O)N
HNDVDQJCIGZPNO-YFKPBYRVSA-N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	C(c1cnc[nH]1)[C@@H](C(=O)O)N
AGPKZVBTJJNPAG-WHFBIAKZSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	CC[C@H](C)[C@@H](C(=O)O)N
YGPSJZOEDVAXAB-QMMMGPOBSA-N	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1	c1ccc(c(c1)C(=O)C[C@@H](C(=O)O)N)N
ROHFNLRQFUQHCH-YFKPBYRVSA-N	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1	CC(C)C[C@@H](C(=O)O)N
FFEARJCKVFRZRR-BYPYZUCNSA-N	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	CSCC[C@@H](C(=O)O)N
UCUNFLYVYCGDHP-UHFFFAOYSA-N	InChI=1S/C5H11NO4S/c1-11(9,10)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	CS(=O)(=O)CCC(C(=O)O)N
COLNVLDHVKWLRT-QMMMGPOBSA-N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	c1ccc(cc1)C[C@@H](C(=O)O)N
HXEACLLIILLPRG-YFKPBYRVSA-N	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1	C1CCN[C@@H](C1)C(=O)O
ONIBWKKTOPOVIA-BYPYZUCNSA-N	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	C1C[C@@H](C(=O)O)NC1
ODHCTXKNWHHXJC-VKHMYHEASA-N	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1	C1CC(=N[C@@H]1C(=O)O)O
MTCFGRXMJLQNBG-REOHCLBHSA-N	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1	C([C@@H](C(=O)O)N)O
DATAGRPVKZEWHA-YFKPBYRVSA-N	InChI=1S/C7H14N2O3/c1-2-9-6(10)4-3-5(8)7(11)12/h5H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t5-/m0/s1	CCN=C(CC[C@@H](C(=O)O)N)O
AYFVYJQAPQTCCC-GBXIJSLDSA-N	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	C[C@H]([C@@H](C(=O)O)N)O
QIVBCDIJIAJPQS-VIFPVBQESA-N	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	c1ccc2c(c1)c(C[C@@H](C(=O)O)N)c[nH]2
OUYCCCASQSFEME-QMMMGPOBSA-N	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	c1cc(ccc1C[C@@H](C(=O)O)N)O
KZSNJWFQEVHDMF-BYPYZUCNSA-N	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	CC(C)[C@@H](C(=O)O)N
XFDUHJPVQKIXHO-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,8H2,(H,9,10)	c1cc(cc(c1)N)C(=O)O
SXGZJKUKBWWHRA-UHFFFAOYSA-N	InChI=1S/C6H13NO4S/c8-12(9,10)6-3-7-1-4-11-5-2-7/h1-6H2,(H,8,9,10)	C1COCCN1CCS(=O)(=O)O
QEFRNWWLZKMPFJ-UHFFFAOYSA-N	InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	CS(=O)CCC(C(=O)O)N
INCSQLZZXBPATR-UHFFFAOYSA-N	InChI=1S/C6H7N3O2/c1-11-6(10)4-5(7)9-3-2-8-4/h2-3H,1H3,(H2,7,9)	COC(=O)c1c(N)nccn1
YNBADRVTZLEFNH-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c1-10-7(9)6-3-2-4-8-5-6/h2-5H,1H3	COC(=O)c1cccnc1
OVRNDRQMDRJTHS-RTRLPJTCSA-N	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1	CC(=N[C@@H]1[C@H]([C@@H]([C@@H](CO)OC1O)O)O)O
OTCCIMWXFLJLIA-BYPYZUCNSA-N	InChI=1S/C6H9NO5/c1-3(8)7-4(6(11)12)2-5(9)10/h4H,2H2,1H3,(H,7,8)(H,9,10)(H,11,12)/t4-/m0/s1	CC(=N[C@@H](CC(=O)O)C(=O)O)O
JRLGPAXAGHMNOL-LURJTMIESA-N	InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1	CC(=N[C@@H](CCCN)C(=O)O)O
SNEIUMQYRCDYCH-LURJTMIESA-N	InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1	CC(=N[C@@H](CCCNC(=N)N)C(=O)O)O
BKAYIFDRRZZKNF-VIFPVBQESA-N	InChI=1S/C11H16N4O4/c1-7(16)13-3-2-10(17)15-9(11(18)19)4-8-5-12-6-14-8/h5-6,9H,2-4H2,1H3,(H,12,14)(H,13,16)(H,15,17)(H,18,19)/t9-/m0/s1	CC(=NCCC(=N[C@@H](Cc1cnc[nH]1)C(=O)O)O)O
SQVRNKJHWKZAKO-PFQGKNLYSA-N	InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11-/m0/s1	CC(=N[C@@H]1[C@H](C[C@](C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O)O
VEYYWZRYIYDQJM-ZETCQYMHSA-N	InChI=1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1	CC(=N[C@@H](CCCCN)C(=O)O)O
YAADMLWHGMUGQL-VOTSOKGWSA-N	InChI=1S/C11H11NO3/c13-10(12-8-11(14)15)7-6-9-4-2-1-3-5-9/h1-7H,8H2,(H,12,13)(H,14,15)/b7-6+	c1ccc(cc1)/C=C/C(=NCC(=O)O)O
CWLQUGTUXBXTLF-YFKPBYRVSA-N	InChI=1S/C6H11NO2/c1-7-4-2-3-5(7)6(8)9/h5H,2-4H2,1H3,(H,8,9)/t5-/m0/s1	CN1CCC[C@H]1C(=O)O
